artist,lot,address,image,title,date,type,size,estimate_price,hammer_price,auction_house
/artist/8595/marlene-dumas/,201,/artist/8595/marlene-dumas/print-multiple/19337499/the-supermodel?p=2,https://imgprivate2.artprice.com/lots/MDM0MDQ0NDAwNjAxMjM0ODYt/OTI1MDIyMzUxODUyNTQ1NTcxLQ==/NTMyMjk3NTg5NTc2Mzc1NTQ0OC0=/OTE5Mjg2OTIyNTE5NDE2MzkzNDEt/sml,The Supermodel,(1995),"Print-Multiple, Lithograph in colors,","26 1/8 , 20 3/8","6172,8642",10494,"Phillips,United Kingdom"
/artist/8595/marlene-dumas/,36,/artist/8595/marlene-dumas/drawing-watercolor/19212267/old-thrills-cheap-thrills?p=2,,"""Old Thrills, Cheap Thrills""",(1989),"Drawing-Watercolor, Ink/paper,","12 1/2 , 9 3/8","12386,18579",,"Phillips,United Kingdom"
/artist/8595/marlene-dumas/,23,/artist/8595/marlene-dumas/print-multiple/18987498/a-long-silence?p=2,https://imgprivate2.artprice.com/lots/MDM0MDQ0NDAwNjAxMjM0ODYt/MTM0MjU1MjkzMDE0NjA4NDIt/MDQ1MjM5NTM2NTE4OTQ1NzE3LQ==/NjEwMDE0MDQyNzUzOTE3MTI1OS0=/sml,A long silence,(1989),"Print-Multiple, Lithograph in colors,","10 , 9 7/8","454,681",545,"Van Ham Kunstauktionen,Germany"
/artist/8595/marlene-dumas/,117,/artist/8595/marlene-dumas/drawing-watercolor/18912867/strobe-lights-flash-lights?p=2,https://imgprivate2.artprice.com/lots/MDM0MDQ0NDAwNjAxMjM0ODYt/MDA3NzMyNDMwOTYzODIzMS0=/NjQ1NDk3MTQ3OTQ1MTg2MTQyMDEt/NDYxNTg2MzE5NTc2NTg0MjAyNy0=/sml,"""Strobe Lights + Flash Lights""",(2000),"Drawing-Watercolor, Indian ink,","26 1/6 , 8 7/8","101531,152297",69803,"Phillips,United Kingdom"
/artist/8595/marlene-dumas/,18,/artist/8595/marlene-dumas/painting/18950481/losing-her-meaning?p=2,https://imgprivate2.artprice.com/lots/MDM0MDQ0NDAwNjAxMjM0ODYt/MzczOTg2MzY2NjA2NjgwOTYt/MDA5MzY4ODA4OTkwMjE0ODQxLQ==/NjczMjI4ODY2NDU1MDE2NTA1MDEt/sml,"""Losing (Her Meaning)""",(1988),"Painting, Oil/canvas,","19 5/8 , 27 1/2","507263,760894",1268158,"Phillips,United Kingdom"
/artist/8595/marlene-dumas/,198,/artist/8595/marlene-dumas/painting/18938751/both-sides?p=2,https://imgprivate2.artprice.com/lots/MDM0MDQ0NDAwNjAxMjM0ODYt/MzA5NDgwNjg2MDYzMDIxNzUt/OTg0MTI2OTk5Mzk0NDE2NDE2NTEt/Nzg5NTQwNDc5MTQ4ODYxMDIzMjEt/sml,Both Sides,(2001),"Painting, Oil/canvas,","15 3/4 , 15 3/4","317040,443856",,"Sotheby's,United Kingdom"
/artist/8595/marlene-dumas/,236024,/artist/8595/marlene-dumas/print-multiple/19347312/before?p=2,https://imgprivate2.artprice.com/lots/MDM0MDQ0NDAwNjAxMjM0ODYt/MDYxNTM3MzE5MzM3NTg1MTEt/MzI5OTY4NjA4MTU4ODYyNTMyNS0=/MDE0MDgyNzYyMzc2MzYzMDIyLQ==/sml,Before,(1993),"Print-Multiple, Lithograph,","26 , 19 7/8",1569,,"Kunstveiling.nl Online Auctions,Netherlands"
/artist/8595/marlene-dumas/,236025,/artist/8595/marlene-dumas/print-multiple/19347315/after?p=2,https://imgprivate2.artprice.com/lots/MDM0MDQ0NDAwNjAxMjM0ODYt/ODE0NDY2Mjg2NTk0Mjg1NDUxLQ==/MDc2MTQyNjA5MTE4ODg5NzAyMS0=/Njg5NDIwOTUyMDAxMTk3NDk3MDEt/sml,After,(1993),"Print-Multiple, Lithograph,","25 3/4 , 21 7/8",2129,,"Kunstveiling.nl Online Auctions,Netherlands"
/artist/8595/marlene-dumas/,677,/artist/8595/marlene-dumas/drawing-watercolor/18764898/naomi-cambell-as-maria-magdalena?p=2,https://imgprivate2.artprice.com/lots/MDM0MDQ0NDAwNjAxMjM0ODYt/MTA0Mzc2NzQ3MTA5NzQ4ODEt/NTYwODk3MzI2NzQ2MDYzOTk4OC0=/MTQ0OTAwMjMxNzEwODIzODUyMi0=/sml,"""Naomi Cambell as Maria Magdalena""",(1996),"Drawing-Watercolor, Watercolour,","12 3/4 , 9 1/2","20413,27217",34022,"Ketterer Kunst GmbH,Germany"
/artist/8595/marlene-dumas/,31,/artist/8595/marlene-dumas/photography/18789120/united-europe?p=3,https://imgprivate2.artprice.com/lots/MjA2MTg4OTQzMjA0ODk5NDE0LQ==/NjAzNTk3MzM4MTk5MTE3OTAxLQ==/ODg2NzAwMzE3MTQ4Mjg4ODYwNDEt/MDA1Nzk1MTEzNTA2NDYxMDkt/sml,United Europe,(2003/05),"Photography, Pigment print,","11 , 9 1/6","1270,1906",7625,"Phillips,United Kingdom"
